date,id,code,mxn,usd,eur,rub,gel,gbp,jpy,aud,aed
2024-05-04,5,rub,0.1854888,0.010931837,0.010157181,1.0,0.029291085,0.008713119,1.67229643,0.016557743,0.040147173
2024-05-05,1,mxn,1.0,0.058926817,0.054733908,5.39827599,0.15790619,0.046980479,9.01827539,0.089188327,0.21640874
2024-05-05,2,usd,16.97020211,1.0,0.92884548,91.60983465,2.6796999,0.79726823,153.041956,1.51354393,3.6725
2024-05-05,3,eur,18.27021022,1.07660534,1.0,98.62763728,2.88497922,0.85834323,164.7657872,1.62948948,3.95383311
2024-05-05,4,gel,6.33287411,0.37317612,0.34662295,34.18660229,1.0,0.29752146,57.11160272,0.56481845,1.37048929
2024-05-05,5,rub,0.18524433,0.010915859,0.010139146,1.0,0.029251225,0.008702867,1.67058435,0.016521632,0.040088491
2024-05-06,1,mxn,1.0,0.058939002,0.054735944,5.36012501,0.15770722,0.046946325,9.04632902,0.089034305,0.21645348
2024-05-06,2,usd,16.96669384,1.0,0.92868801,90.94360003,2.6757701,0.79652393,153.486295,1.5106178,3.6725
2024-05-06,3,eur,18.26953045,1.07678789,1.0,97.9269671,2.88123684,0.85768732,165.2721835,1.62661495,3.95450352
2024-05-06,4,gel,6.34086382,0.37372418,0.34707317,33.98782276,1.0,0.29768026,57.36154042,0.5645544,1.37250207
2024-05-06,5,rub,0.18656281,0.010995826,0.010211692,1.0,0.029422302,0.008758439,1.68770859,0.01661049,0.040382171
2024-05-07,1,mxn,1.0,0.059259594,0.055010762,5.40214353,0.15850596,0.04716697,9.13897218,0.089289384,0.21763086
2024-05-07,2,usd,16.87490457,1.0,0.92830135,91.16065656,2.67477298,0.79593812,154.2192834,1.50674984,3.6725
2024-05-07,3,eur,18.17826131,1.07723639,1.0,98.20157673,2.8813628,0.85741351,166.1306243,1.62312576,3.95615065
2024-05-07,4,gel,6.30891095,0.3738635,0.347058,34.08164249,1.0,0.29757222,57.65696166,0.56331877,1.37301372
